frame,capsule_x,capsule_y,capsule_w,capsule_h,capsule_area,title_bright,under_dark,art_color
0,1458,0,355,60,20836,1174,1472,3510
1,1458,0,355,59,20532,1171,1155,3510
2,1458,0,356,60,20855,1174,2854,3508
3,1457,0,357,60,20857,1176,2856,3511
4,1457,0,357,60,20855,1176,4855,3508
5,1457,0,357,60,20858,1174,4840,3508
6,1457,0,357,60,20851,1162,14368,3515
7,1457,0,357,60,20852,1159,14666,3510
8,1457,0,357,60,20850,1161,14675,3518
9,1457,0,358,60,20861,1158,14713,3516
10,1457,0,358,60,20855,1158,14860,3518
11,1457,0,358,60,20862,1160,14879,3518
12,1457,0,358,60,20866,1158,14864,3514
13,1456,0,359,60,20869,1161,15045,3513
14,1456,0,359,60,20871,1161,15028,3508
15,1456,0,359,60,20871,1161,15830,3513
16,1456,0,359,60,20874,1161,15832,3512
17,1456,0,359,60,20872,1157,15839,3512
18,1457,0,358,60,20870,1156,15838,3512
19,1457,0,358,60,20872,1157,15843,3512
20,1457,0,358,60,20872,1152,15836,3510
21,1456,0,359,60,20870,1158,15656,3508
22,1456,0,359,60,20872,1150,15855,3508
23,1456,0,359,60,20871,1150,15823,3508
24,1456,0,359,60,20871,1159,15845,3510
25,1456,0,359,60,20871,1155,15861,3510
26,1456,0,359,60,20868,1159,15855,3509
27,1456,0,359,60,20868,1159,15855,3509
28,1456,0,359,60,20868,1159,15855,3509
29,1456,0,359,60,20868,1159,15852,3509
30,1456,0,359,60,20868,1159,15852,3509
31,1456,0,359,60,20868,1159,15854,3509
32,1456,0,359,60,20868,1159,15854,3509
33,1456,0,359,60,20868,1159,15854,3509
34,1456,0,359,60,20868,1159,15854,3509
35,1456,0,359,60,20868,1159,15854,3509
36,1456,0,359,60,20868,1159,15854,3509
37,1456,0,359,60,20868,1159,15854,3509
38,1456,0,359,60,20868,1159,15854,3509
39,1456,0,359,60,20868,1159,15854,3509
40,1456,0,359,60,20868,1159,15854,3509
41,1456,0,359,60,20868,1159,15854,3509
42,1456,0,359,60,20868,1159,15854,3509
43,1456,0,359,60,20868,1159,15854,3509
44,1456,0,359,60,20868,1159,15854,3509
45,1456,0,359,60,20868,1159,15854,3509
46,1456,0,359,60,20868,1159,15854,3509
47,1456,0,359,60,20868,1159,15854,3509
48,1456,0,359,60,20868,1159,15854,3509
49,1456,0,359,60,20868,1159,15854,3509
50,1456,0,359,60,20868,1159,15854,3509
51,1456,0,359,60,20868,1159,15854,3509
52,1456,0,359,60,20871,1164,15858,3510
53,1456,0,359,60,20871,1158,15855,3510
54,1456,0,359,60,20869,1158,15846,3510
55,1456,0,359,60,20869,1158,15850,3510
56,1456,0,359,60,20869,1157,15853,3510
57,1456,0,359,60,20869,1157,15849,3510
58,1456,0,359,60,20869,1157,15853,3510
59,1456,0,359,60,20869,1156,15853,3510
60,1457,0,358,60,20847,1140,14738,3515
61,1457,0,358,60,20854,1143,16294,3509
62,1457,0,358,60,20855,1145,15527,3509
63,1457,0,358,60,20859,1144,15363,3510
64,1457,0,358,60,20858,1144,15239,3508
65,1456,0,359,60,20860,1146,15255,3509
66,1457,0,358,60,20862,1146,15806,3509
67,1456,0,359,60,20868,1143,15831,3509
68,1456,0,359,60,20867,0,8739,3509
69,1456,0,359,60,20867,0,8739,3509
70,1456,0,359,60,20867,0,8739,3509
71,1456,0,359,60,20867,0,8739,3509
72,1456,0,359,60,20867,0,8740,3509
73,1456,0,359,60,20867,0,8740,3509
74,1456,0,359,60,20867,0,8740,3509
75,1456,0,359,60,20869,0,8740,3507
76,1456,0,359,60,20870,0,8740,3507
77,1456,0,359,60,20869,0,8740,3507
78,1456,0,359,60,20870,0,8708,3507
79,1456,0,359,60,20871,0,8740,3507
80,1456,0,359,60,20871,0,8740,3507
81,1456,0,359,60,20871,0,8200,3507
82,1456,0,359,60,20872,0,8740,3507
83,1456,0,359,60,20871,0,9280,3507
