frame,t,abs_t,area,x1,x2,y1,y2,w,h,bright_lower,changed_cx,changed_cy
0,0.0,1.35,0,0,0,0,0,0,0,1088,,
1,0.0167,1.3667,0,0,0,0,0,0,0,1085,,
2,0.0333,1.3833,0,0,0,0,0,0,0,1085,,
3,0.05,1.4,0,0,0,0,0,0,0,1085,,
4,0.0667,1.4167,153,167,577,8,69,411,62,1086,383.9,56.9
5,0.0833,1.4333,153,167,577,8,69,411,62,1086,383.9,56.9
6,0.1,1.45,2973,156,590,0,74,435,75,1087,374.1,69.5
7,0.1167,1.4667,6070,136,609,0,74,474,75,1086,372.6,66.5
8,0.1333,1.4833,6070,136,609,0,74,474,75,1086,372.6,66.5
9,0.15,1.5,7902,126,621,0,92,496,93,1083,373.5,68.1
10,0.1667,1.5167,11389,100,645,0,92,546,93,1069,373.0,65.2
11,0.1833,1.5333,11389,100,645,0,92,546,93,1069,373.0,65.2
12,0.2,1.55,14215,82,663,0,148,582,149,909,374.1,66.0
13,0.2167,1.5667,20049,66,683,0,154,618,155,296,354.3,80.6
14,0.2333,1.5833,20049,66,683,0,154,618,155,296,354.3,80.6
15,0.25,1.6,22727,58,697,0,154,640,155,266,355.8,80.2
16,0.2667,1.6167,25992,50,701,0,154,652,155,235,359.3,83.6
17,0.2833,1.6333,25992,50,701,0,154,652,155,235,359.3,83.6
18,0.3,1.65,27093,48,710,0,154,663,155,224,360.7,85.1
19,0.3167,1.6667,28435,44,719,0,154,676,155,219,362.3,86.4
20,0.3333,1.6833,28435,44,719,0,154,676,155,219,362.3,86.4
21,0.35,1.7,28549,44,719,0,154,676,155,250,360.6,86.3
22,0.3667,1.7167,28607,44,719,0,154,676,155,739,360.4,86.3
23,0.3833,1.7333,28607,44,719,0,154,676,155,739,360.4,86.3
24,0.4,1.75,28531,44,719,0,154,676,155,1128,360.8,86.4
25,0.4167,1.7667,28377,46,719,0,154,674,155,1412,360.7,86.3
26,0.4333,1.7833,28377,46,719,0,154,674,155,1412,360.7,86.3
27,0.45,1.8,28150,46,719,0,154,674,155,1603,361.8,86.3
28,0.4667,1.8167,28004,48,719,0,154,672,155,1848,361.1,86.1
29,0.4833,1.8333,28004,48,719,0,154,672,155,1848,361.1,86.1
30,0.5,1.85,27921,48,719,0,154,672,155,1872,360.4,86.1
31,0.5167,1.8667,27643,48,719,0,154,672,155,1930,360.9,86.2
32,0.5333,1.8833,27643,48,719,0,154,672,155,1930,360.9,86.2
33,0.55,1.9,27629,48,719,0,154,672,155,1943,360.5,86.1
34,0.5667,1.9167,27510,49,719,0,154,671,155,1990,361.2,86.1
35,0.5833,1.9333,27510,49,719,0,154,671,155,1990,361.2,86.1
36,0.6,1.95,27535,49,719,0,154,671,155,1993,360.6,86.1
37,0.6167,1.9667,27662,21,737,0,154,717,155,1980,361.1,86.0
38,0.6333,1.9833,27662,21,737,0,154,717,155,1980,361.1,86.0
39,0.65,2.0,27877,21,779,0,154,759,155,1963,361.2,86.0
40,0.6667,2.0167,27682,21,737,0,154,717,155,1972,360.9,86.0
41,0.6833,2.0333,27682,21,737,0,154,717,155,1972,360.9,86.0
42,0.7,2.05,27685,21,737,0,154,717,155,1974,360.8,86.0
43,0.7167,2.0667,27633,21,737,0,154,717,155,1980,361.5,86.0
44,0.7333,2.0833,27633,21,737,0,154,717,155,1980,361.5,86.0
45,0.75,2.1,27593,21,736,0,154,716,155,1980,360.8,86.0
46,0.7667,2.1167,27583,21,735,0,154,715,155,1986,360.9,86.0
47,0.7833,2.1333,27583,21,735,0,154,715,155,1986,360.9,86.0
48,0.8,2.15,27592,50,713,0,154,664,155,1999,361.0,86.0
49,0.8167,2.1667,27558,50,710,0,154,661,155,2005,360.9,86.1
50,0.8333,2.1833,27558,50,710,0,154,661,155,2005,360.9,86.1
51,0.85,2.2,27525,50,712,0,154,663,155,2017,361.0,86.1
52,0.8667,2.2167,27520,49,712,0,154,664,155,2016,360.9,86.1
53,0.8833,2.2333,27520,49,712,0,154,664,155,2016,360.9,86.1
54,0.9,2.25,27528,49,712,0,154,664,155,2022,361.0,86.0
