frame,t,abs_t,area,x1,x2,y1,y2,w,h,bright_lower,changed_cx,changed_cy
0,0.0,3.15,0,0,0,0,0,0,0,1081,,
1,0.0167,3.1667,1848,107,639,14,57,533,44,1082,183.8,50.1
2,0.0333,3.1833,1848,107,639,14,57,533,44,1082,183.8,50.1
3,0.05,3.2,1944,107,639,14,57,533,44,1087,170.9,50.1
4,0.0667,3.2167,2001,107,639,14,57,533,44,1086,178.7,50.1
5,0.0833,3.2333,2001,107,639,14,57,533,44,1086,178.7,50.1
6,0.1,3.25,2000,107,639,14,57,533,44,1085,178.7,50.1
7,0.1167,3.2667,1951,107,639,14,57,533,44,1085,157.1,50.3
8,0.1333,3.2833,1951,107,639,14,57,533,44,1085,157.1,50.3
9,0.15,3.3,6020,66,675,0,74,610,75,1087,344.3,68.1
10,0.1667,3.3167,6514,62,713,0,74,652,75,1085,352.5,67.9
11,0.1833,3.3333,6514,62,713,0,74,652,75,1085,352.5,67.9
12,0.2,3.35,6389,58,713,0,74,656,75,1084,342.7,68.0
13,0.2167,3.3667,5986,60,713,0,74,654,75,1073,350.8,68.2
14,0.2333,3.3833,5986,60,713,0,74,654,75,1073,350.8,68.2
15,0.25,3.4,9221,58,713,0,135,656,136,1005,358.9,86.2
16,0.2667,3.4167,10657,56,713,0,139,658,140,835,347.5,91.9
17,0.2833,3.4333,10657,56,713,0,139,658,140,835,347.5,91.9
18,0.3,3.45,11967,56,713,0,141,658,142,2937,349.7,96.0
19,0.3167,3.4667,12113,56,713,0,141,658,142,3527,352.2,96.3
20,0.3333,3.4833,12113,56,713,0,141,658,142,3527,352.2,96.3
21,0.35,3.5,12161,56,713,0,141,658,142,3719,352.5,96.5
22,0.3667,3.5167,12191,56,713,0,141,658,142,3768,352.1,96.5
23,0.3833,3.5333,12191,56,713,0,141,658,142,3768,352.1,96.5
24,0.4,3.55,12115,56,713,0,141,658,142,3775,352.0,96.6
25,0.4167,3.5667,12118,56,713,0,141,658,142,3780,351.7,96.6
26,0.4333,3.5833,12118,56,713,0,141,658,142,3780,351.7,96.6
27,0.45,3.6,13528,56,713,0,141,658,142,3770,344.2,95.6
28,0.4667,3.6167,13450,53,723,0,152,671,153,3781,343.7,95.3
29,0.4833,3.6333,13450,53,723,0,152,671,153,3781,343.7,95.3
30,0.5,3.65,13402,58,686,0,141,629,142,3784,344.7,95.5
31,0.5167,3.6667,13156,58,686,0,141,629,142,3791,343.6,95.6
32,0.5333,3.6833,13156,58,686,0,141,629,142,3791,343.6,95.6
33,0.55,3.7,13096,58,731,0,141,674,142,3789,343.7,95.7
34,0.5667,3.7167,12802,56,686,0,141,631,142,3786,345.7,95.9
35,0.5833,3.7333,12802,56,686,0,141,631,142,3786,345.7,95.9
36,0.6,3.75,12484,56,687,0,141,632,142,3782,346.7,96.2
37,0.6167,3.7667,12153,53,730,0,146,678,147,3777,349.4,96.4
38,0.6333,3.7833,12153,53,730,0,146,678,147,3777,349.4,96.4
39,0.65,3.8,12023,58,730,0,141,673,142,3782,350.6,96.6
40,0.6667,3.8167,12605,58,731,0,141,674,142,3788,344.3,95.7
41,0.6833,3.8333,12605,58,731,0,141,674,142,3788,344.3,95.7
42,0.7,3.85,12994,58,687,0,141,630,142,3780,341.5,95.3
43,0.7167,3.8667,13349,56,687,0,141,632,142,3778,337.9,94.8
44,0.7333,3.8833,13349,56,687,0,141,632,142,3778,337.9,94.8
45,0.75,3.9,13413,56,687,0,141,632,142,3776,337.1,94.7
46,0.7667,3.9167,13438,56,687,0,141,632,142,3787,337.0,94.6
47,0.7833,3.9333,13438,56,687,0,141,632,142,3787,337.0,94.6
48,0.8,3.95,13443,56,687,0,144,632,145,3786,336.4,94.5
49,0.8167,3.9667,13443,56,687,0,144,632,145,3789,336.1,94.4
50,0.8333,3.9833,13443,56,687,0,144,632,145,3789,336.1,94.4
51,0.85,4.0,13483,53,731,0,152,679,153,3797,336.0,94.1
52,0.8667,4.0167,13415,58,731,0,152,674,153,3793,335.9,94.2
53,0.8833,4.0333,13415,58,731,0,152,674,153,3793,335.9,94.2
54,0.9,4.05,13376,58,731,0,151,674,152,3799,336.0,94.2
