frame,t,w_y8,l_y8,r_y8,w_y20,l_y20,r_y20,w_y35,l_y35,r_y35,w_y55,l_y55,r_y55,w_y75,l_y75,r_y75,w_y95,l_y95,r_y95,w_y115,l_y115,r_y115,center_dark_bottom
0,0.0,415,596,1010,414,596,1009,413,597,1009,410,598,1007,1636,0,1635,0,,,0,,,90
1,0.0167,414,596,1009,413,597,1009,413,597,1009,410,598,1007,1636,0,1635,0,,,0,,,90
2,0.0333,414,596,1009,412,598,1009,412,598,1009,410,598,1007,1636,0,1635,0,,,0,,,90
3,0.05,414,596,1009,412,598,1009,412,598,1009,409,598,1006,1636,0,1635,0,,,0,,,90
4,0.0667,414,596,1009,412,598,1009,412,598,1009,409,598,1006,1636,0,1635,0,,,0,,,90
5,0.0833,414,596,1009,412,598,1009,412,598,1009,409,598,1006,1636,0,1635,0,,,0,,,90
6,0.1,414,596,1009,412,598,1009,412,598,1009,409,598,1006,1636,0,1635,0,,,0,,,90
7,0.1167,414,596,1009,412,598,1009,412,598,1009,409,598,1006,1636,0,1635,0,,,0,,,90
8,0.1333,414,596,1009,414,596,1009,414,596,1009,410,598,1007,1636,0,1635,0,,,0,,,90
9,0.15,414,596,1009,412,598,1009,412,598,1009,410,598,1007,1636,0,1635,0,,,0,,,90
10,0.1667,414,596,1009,412,598,1009,412,598,1009,410,598,1007,1636,0,1635,0,,,0,,,90
11,0.1833,414,596,1009,412,598,1009,412,598,1009,410,598,1007,1636,0,1635,0,,,0,,,90
12,0.2,414,596,1009,412,598,1009,412,598,1009,410,598,1007,1636,0,1635,0,,,0,,,90
13,0.2167,414,596,1009,412,598,1009,412,598,1009,410,598,1007,1636,0,1635,0,,,0,,,90
14,0.2333,414,596,1009,412,598,1009,412,598,1009,410,598,1007,1636,0,1635,0,,,0,,,90
15,0.25,412,598,1009,412,598,1009,412,598,1009,409,598,1006,1636,0,1635,0,,,0,,,90
16,0.2667,413,597,1009,412,598,1009,412,598,1009,409,598,1006,1636,0,1635,0,,,0,,,90
17,0.2833,413,597,1009,412,598,1009,412,598,1009,409,598,1006,1636,0,1635,0,,,0,,,90
18,0.3,412,598,1009,412,598,1009,412,598,1009,409,598,1006,1636,0,1635,0,,,0,,,90
19,0.3167,413,597,1009,412,598,1009,412,598,1009,410,598,1007,1636,0,1635,0,,,0,,,90
