frame,t,energy,area,bbox_x,bbox_y,bbox_w,bbox_h
0,0.0,0,50654,420,0,800,80
1,0.0167,0.1658,45285,420,0,800,80
2,0.0333,0.7102,44956,420,0,800,80
3,0.05,0.2005,45402,420,0,800,80
4,0.0667,0.1286,45494,420,0,800,80
5,0.0833,0.2476,44870,420,0,800,80
6,0.1,0.0671,44870,420,0,800,80
7,0.1167,0.2315,37544,420,0,800,80
8,0.1333,1.1596,46595,420,0,800,80
9,0.15,0.8462,46017,420,0,800,80
10,0.1667,0.6821,45628,420,0,800,80
11,0.1833,0.4812,45051,420,0,800,80
12,0.2,0.2101,45440,420,0,800,80
13,0.2167,0.1811,44359,420,0,800,80
14,0.2333,0.0856,44340,420,0,800,80
15,0.25,0.1349,43674,420,0,800,80
16,0.2667,0.105,43445,420,0,800,80
17,0.2833,0.1335,44589,420,0,800,80
18,0.3,0.1555,41572,420,0,800,80
19,0.3167,0.1618,43260,420,0,800,80
20,0.3333,0.1239,42576,420,0,800,80
21,0.35,0.112,43534,420,0,800,80
22,0.3667,0.004,43534,420,0,800,80
23,0.3833,0.071,43472,420,0,800,80
24,0.4,0.1418,36540,420,0,800,80
25,0.4167,0.0697,41610,420,0,800,80
26,0.4333,0.0702,41669,420,0,800,80
27,0.45,0.2826,41895,420,0,800,80
28,0.4667,0.0152,41896,420,0,800,80
29,0.4833,0.0085,41640,420,0,800,80
30,0.5,0.0442,41444,420,0,800,80
31,0.5167,0.0452,41927,420,0,800,80
32,0.5333,0.0178,41649,420,0,800,80
33,0.55,0.0654,41774,420,0,800,80
34,0.5667,0.0813,41762,420,0,800,80
35,0.5833,0.0776,42228,420,0,800,80
36,0.6,0.0588,42516,420,0,800,80
37,0.6167,0.0549,42742,420,0,800,80
38,0.6333,0.0001,42742,420,0,800,80
39,0.65,0.0234,42387,420,0,800,80
40,0.6667,0.0004,42387,420,0,800,80
41,0.6833,0.0006,42387,420,0,800,80
42,0.7,0.0004,42387,420,0,800,80
43,0.7167,0.0004,42387,420,0,800,80
44,0.7333,0.0187,42654,420,0,800,80
45,0.75,0.018,42387,420,0,800,80
46,0.7667,0.018,42654,420,0,800,80
47,0.7833,0.0,42654,420,0,800,80
48,0.8,0.0,42654,420,0,800,80
49,0.8167,0.0181,42387,420,0,800,80
50,0.8333,0.0001,42387,420,0,800,80
51,0.85,0.0408,42551,420,0,800,80
52,0.8667,0.0099,42551,420,0,800,80
53,0.8833,0.0026,42551,420,0,800,80
54,0.9,0.0502,42654,420,0,800,80
55,0.9167,0.0039,42654,420,0,800,80
56,0.9333,0.0,42654,420,0,800,80
57,0.95,0.0201,42675,420,0,800,80
58,0.9667,0.0,42675,420,0,800,80
59,0.9833,0.0003,42675,420,0,800,80
60,1.0,1.2144,47904,420,0,800,80
61,1.0167,0.865,44051,420,0,800,80
62,1.0333,0.0,44051,420,0,800,80
63,1.05,0.0829,45790,420,0,800,80
64,1.0667,0.092,43799,420,0,800,80
65,1.0833,0.1055,43561,420,0,800,80
66,1.1,0.0861,43405,420,0,800,80
67,1.1167,0.1592,42429,420,0,800,80
68,1.1333,0.1314,42498,420,0,800,80
69,1.15,0.1494,42274,420,0,800,80
70,1.1667,0.1032,41938,420,0,800,80
71,1.1833,0.1675,41911,420,0,800,80
72,1.2,0.1361,42573,420,0,800,80
73,1.2167,0.0367,42628,420,0,800,80
74,1.2333,0.0238,43409,420,0,800,80
75,1.25,0.1436,39852,420,0,800,80
76,1.2667,0.1023,42586,420,0,800,80
77,1.2833,0.3037,41948,420,0,800,80
78,1.3,0.1855,38822,420,0,800,80
79,1.3167,0.0179,38704,420,0,800,80
80,1.3333,0.0169,38636,420,0,800,80
81,1.35,0.0247,38636,420,0,800,80
82,1.3667,0.0219,38631,420,0,800,80
83,1.3833,0.1051,44025,420,0,800,80
84,1.4,0.1135,42051,420,0,800,80
85,1.4167,0.1498,44286,420,0,800,80
86,1.4333,0.2522,37394,420,0,800,80
87,1.45,0.9284,44663,420,0,800,80
88,1.4667,0.773,43036,420,0,800,80
89,1.4833,0.805,46900,420,0,800,80
90,1.5,1.5637,51187,420,0,800,98
91,1.5167,4.7072,64259,420,0,800,119
92,1.5333,0.0,64259,420,0,800,119
93,1.55,4.3198,63939,420,0,800,120
94,1.5667,3.2269,64833,420,0,800,120
95,1.5833,2.5304,64426,420,0,800,120
96,1.6,2.1413,66146,420,0,800,120
97,1.6167,1.292,69146,420,0,800,120
98,1.6333,1.7368,71569,420,0,800,120
99,1.65,1.0142,72018,420,0,800,120
100,1.6667,1.2467,72160,420,0,800,120
101,1.6833,1.1947,72083,420,0,800,120
102,1.7,0.8732,72408,420,0,800,120
103,1.7167,0.6977,72566,420,0,800,120
104,1.7333,0.7295,72551,420,0,800,120
105,1.75,1.0003,71961,420,0,800,120
106,1.7667,0.7171,71559,420,0,800,120
107,1.7833,0.6714,71231,420,0,800,120
108,1.8,0.7464,71290,420,0,800,120
109,1.8167,0.5827,71395,420,0,800,120
110,1.8333,0.9692,70444,420,0,800,120
111,1.85,0.6972,70883,420,0,800,120
112,1.8667,0.7663,70440,420,0,800,120
113,1.8833,0.8771,70507,420,0,800,120
114,1.9,0.4348,70415,420,0,800,120
115,1.9167,0.3046,70094,420,0,800,120
116,1.9333,0.4968,70804,420,0,800,120
117,1.95,0.1581,70609,420,0,800,120
118,1.9667,0.8403,69685,420,0,800,120
119,1.9833,0.3923,70833,420,0,800,120
120,2.0,0.5587,71114,420,0,800,120
121,2.0167,0.3162,71067,420,0,800,120
122,2.0333,0.1399,71002,420,0,800,120
123,2.05,0.1118,70901,420,0,800,120
124,2.0667,0.2793,70488,420,0,800,120
125,2.0833,0.1707,70514,420,0,800,120
126,2.1,0.1495,70518,420,0,800,120
127,2.1167,0.18,70473,420,0,800,120
128,2.1333,0.144,70493,420,0,800,120
129,2.15,0.1452,70518,420,0,800,120
130,2.1667,0.1604,70563,420,0,800,120
131,2.1833,0.1596,70393,420,0,800,120
132,2.2,0.1694,70424,420,0,800,120
133,2.2167,0.0768,70342,420,0,800,120
134,2.2333,0.0348,70368,420,0,800,120
135,2.25,0.1383,70567,420,0,800,120
136,2.2667,0.1496,70497,420,0,800,120
137,2.2833,0.1436,70450,420,0,800,120
138,2.3,0.3212,70454,420,0,800,120
139,2.3167,0.0815,70570,420,0,800,120
140,2.3333,0.0569,70462,420,0,800,120
141,2.35,0.0475,70567,420,0,800,120
142,2.3667,0.0589,70553,420,0,800,120
143,2.3833,0.0672,70546,420,0,800,120
144,2.4,0.1114,70774,420,0,800,120
145,2.4167,0.08,70651,420,0,800,120
146,2.4333,0.1092,70639,420,0,800,120
147,2.45,0.0478,70771,420,0,800,120
148,2.4667,0.0,70771,420,0,800,120
149,2.4833,0.0293,70616,420,0,800,120
150,2.5,0.0647,70331,420,0,800,120
151,2.5167,0.0402,70595,420,0,800,120
152,2.5333,0.0351,70762,420,0,800,120
153,2.55,0.0235,70765,420,0,800,120
154,2.5667,0.0593,70564,420,0,800,120
155,2.5833,0.0507,70250,420,0,800,120
156,2.6,0.0814,70579,420,0,800,120
157,2.6167,0.0301,70717,420,0,800,120
158,2.6333,0.0119,70716,420,0,800,120
159,2.65,0.0461,70556,420,0,800,120
160,2.6667,0.0759,70776,420,0,800,120
161,2.6833,0.0106,70345,420,0,800,120
162,2.7,0.0163,70608,420,0,800,120
163,2.7167,0.0118,70662,420,0,800,120
164,2.7333,0.0379,70624,420,0,800,120
165,2.75,0.0152,70631,420,0,800,120
166,2.7667,0.1052,70794,420,0,800,120
167,2.7833,0.0472,70840,420,0,800,120
168,2.8,0.0486,70559,420,0,800,120
169,2.8167,0.0139,70564,420,0,800,120
170,2.8333,0.024,70926,420,0,800,120
171,2.85,0.7908,69578,420,0,800,120
172,2.8667,0.3163,70978,420,0,800,120
173,2.8833,0.0736,71267,420,0,800,120
174,2.9,0.0601,71221,420,0,800,120
175,2.9167,0.1009,69818,420,0,800,120
176,2.9333,0.1152,70620,420,0,800,120
177,2.95,0.1107,69986,420,0,800,120
178,2.9667,0.1402,70018,420,0,800,120
179,2.9833,0.105,70289,420,0,800,120
180,3.0,0.5958,69902,420,0,800,120
181,3.0167,0.3117,70730,420,0,800,120
182,3.0333,0.0622,70062,420,0,800,120
183,3.05,0.0625,70493,420,0,800,120
184,3.0667,0.1316,69925,420,0,800,120
185,3.0833,0.154,70445,420,0,800,120
186,3.1,0.0973,70041,420,0,800,120
187,3.1167,0.1378,69995,420,0,800,120
188,3.1333,0.1088,70952,420,0,800,120
189,3.15,0.1398,70719,420,0,800,120
190,3.1667,0.1445,70790,420,0,800,120
191,3.1833,0.1341,70696,420,0,800,120
192,3.2,0.1134,70351,420,0,800,120
193,3.2167,0.0477,70666,420,0,800,120
194,3.2333,0.0495,70647,420,0,800,120
195,3.25,0.0239,70648,420,0,800,120
196,3.2667,0.058,70653,420,0,800,120
197,3.2833,0.117,70210,420,0,800,120
