frame,t,w_y8,l_y8,r_y8,w_y20,l_y20,r_y20,w_y35,l_y35,r_y35,w_y55,l_y55,r_y55,w_y75,l_y75,r_y75,w_y95,l_y95,r_y95,w_y115,l_y115,r_y115,center_dark_bottom
0,0.0,600,504,1103,518,580,1097,451,580,1030,522,576,1097,1636,0,1635,0,,,0,,,90
1,0.0167,598,504,1101,518,580,1097,451,580,1030,522,576,1097,1636,0,1635,0,,,0,,,90
2,0.0333,596,506,1101,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
3,0.05,596,504,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
4,0.0667,596,506,1101,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
5,0.0833,594,506,1099,518,580,1097,451,580,1030,525,575,1099,1636,0,1635,0,,,0,,,90
6,0.1,592,508,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
7,0.1167,593,507,1099,517,580,1096,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
8,0.1333,592,508,1099,517,580,1096,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
9,0.15,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
10,0.1667,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
11,0.1833,592,508,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
12,0.2,592,508,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
13,0.2167,592,508,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
14,0.2333,594,508,1101,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
15,0.25,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
16,0.2667,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
17,0.2833,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
18,0.3,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
19,0.3167,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
20,0.3333,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
21,0.35,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
