frame,t,energy,area,bbox_x,bbox_y,bbox_w,bbox_h
0,0.0,0,50111,420,0,800,80
1,0.0167,0.1435,50155,420,0,800,80
2,0.0333,0.8858,50243,420,0,800,80
3,0.05,0.0989,50196,420,0,800,80
4,0.0667,0.0887,50506,420,0,800,80
5,0.0833,0.9444,49393,420,0,800,80
6,0.1,0.5415,48606,420,0,800,80
7,0.1167,0.3077,49336,420,0,800,80
8,0.1333,0.1982,46842,420,0,800,80
9,0.15,0.2413,46129,420,0,800,80
10,0.1667,0.2222,47535,420,0,800,80
11,0.1833,0.1513,44719,420,0,800,80
12,0.2,0.2034,48046,420,0,800,80
13,0.2167,0.173,48456,420,0,800,80
14,0.2333,0.1441,47487,420,0,800,80
15,0.25,0.1365,47188,420,0,800,80
16,0.2667,0.1444,48207,420,0,800,80
17,0.2833,0.1553,49573,420,0,800,80
18,0.3,0.1175,48052,420,0,800,80
19,0.3167,0.0156,49669,420,0,800,80
20,0.3333,0.0958,48092,420,0,800,80
21,0.35,0.1524,48110,420,0,800,80
22,0.3667,0.0898,48242,420,0,800,80
23,0.3833,0.0787,48356,420,0,800,80
24,0.4,0.0006,48356,420,0,800,80
25,0.4167,0.0094,47364,420,0,800,80
26,0.4333,0.0013,47324,420,0,800,80
27,0.45,0.0,47324,420,0,800,80
28,0.4667,0.0097,48324,420,0,800,80
29,0.4833,0.2504,48353,420,0,800,80
30,0.5,0.0803,48223,420,0,800,80
31,0.5167,0.0065,48231,420,0,800,80
32,0.5333,0.047,48443,420,0,800,80
33,0.55,0.0532,48230,420,0,800,80
34,0.5667,0.0587,48280,420,0,800,80
35,0.5833,0.1197,47942,420,0,800,80
36,0.6,0.0612,48000,420,0,800,80
37,0.6167,0.076,48376,420,0,800,80
38,0.6333,0.0125,48016,420,0,800,80
39,0.65,0.0004,48016,420,0,800,80
40,0.6667,0.0101,48375,420,0,800,80
41,0.6833,0.0101,48015,420,0,800,80
42,0.7,0.0005,48015,420,0,800,80
43,0.7167,0.0005,48015,420,0,800,80
44,0.7333,0.0124,48375,420,0,800,80
45,0.75,0.013,48015,420,0,800,80
46,0.7667,0.0002,48015,420,0,800,80
47,0.7833,0.0,48015,420,0,800,80
48,0.8,0.0001,48015,420,0,800,80
49,0.8167,0.0001,48015,420,0,800,80
50,0.8333,0.0129,48375,420,0,800,80
51,0.85,0.0129,48015,420,0,800,80
52,0.8667,0.0,48015,420,0,800,80
53,0.8833,0.013,48375,420,0,800,80
54,0.9,0.0,48375,420,0,800,80
55,0.9167,0.0093,48015,420,0,800,80
56,0.9333,0.036,48223,420,0,800,80
57,0.95,0.0068,48223,420,0,800,80
58,0.9667,0.008,48223,420,0,800,80
59,0.9833,0.0309,48015,420,0,800,80
60,1.0,0.9617,51318,420,0,800,80
61,1.0167,0.584,49525,420,0,800,80
62,1.0333,0.0044,49525,420,0,800,80
63,1.05,0.0736,48305,420,0,800,80
64,1.0667,0.0994,48319,420,0,800,80
65,1.0833,0.126,49410,420,0,800,80
66,1.1,0.1525,48307,420,0,800,80
67,1.1167,0.1707,48332,420,0,800,80
68,1.1333,0.162,48321,420,0,800,80
69,1.15,0.1423,48450,420,0,800,80
70,1.1667,0.1345,48072,420,0,800,80
71,1.1833,0.1259,47510,420,0,800,80
72,1.2,0.1881,48099,420,0,800,80
73,1.2167,0.0537,48096,420,0,800,80
74,1.2333,0.0118,47712,420,0,800,80
75,1.25,0.109,47942,420,0,800,80
76,1.2667,0.0931,48045,420,0,800,80
77,1.2833,0.1137,47093,420,0,800,80
78,1.3,0.0889,47055,420,0,800,80
79,1.3167,0.0668,48217,420,0,800,80
80,1.3333,0.0947,47052,420,0,800,80
81,1.35,0.0596,47589,420,0,800,80
82,1.3667,0.0686,48288,420,0,800,80
83,1.3833,0.1923,46890,420,0,800,80
84,1.4,0.1239,47758,420,0,800,80
85,1.4167,0.0095,47887,420,0,800,80
86,1.4333,0.0165,47887,420,0,800,80
87,1.45,0.0229,47881,420,0,800,80
88,1.4667,0.0205,47115,420,0,800,80
89,1.4833,0.0448,47226,420,0,800,80
90,1.5,0.0664,47872,420,0,800,80
91,1.5167,0.1011,46659,420,0,800,80
92,1.5333,0.0287,47777,420,0,800,80
93,1.55,0.0297,48282,420,0,800,80
94,1.5667,0.1875,48189,420,0,800,80
95,1.5833,0.0795,48209,420,0,800,80
96,1.6,0.0216,47868,420,0,800,80
97,1.6167,0.0561,46974,420,0,800,80
98,1.6333,0.0088,47312,420,0,800,80
99,1.65,0.1829,48107,420,0,800,80
100,1.6667,0.0,48107,420,0,800,80
101,1.6833,0.0211,47802,420,0,800,80
102,1.7,0.066,46657,420,0,800,80
103,1.7167,0.0202,47891,420,0,800,80
104,1.7333,0.1957,47544,420,0,800,80
105,1.75,0.0248,46648,420,0,800,80
106,1.7667,0.0177,47882,420,0,800,80
107,1.7833,0.0138,47542,420,0,800,80
108,1.8,0.0238,46649,420,0,800,80
109,1.8167,0.1175,47959,420,0,800,80
110,1.8333,0.0126,47937,420,0,800,80
